Line,Date,Category,Description,Detail,Company Paid,Currency Code,Amount,Payment Exchange Rate,Payment Amount,Exchange Override,Expense Location,Total Tax Amount,Net Amount, Project, Project Name
2,15/10/2024,,,,,GBP,4.25,0,4.25,None,GB,,,,
3,15/10/2024,,,,,GBP,7.95,0,7.95,None,GB,,,,
4,16/10/2024,,,,,GBP,4.5,0,4.5,None,GB,,,,
5,16/10/2024,,,,,GBP,7.95,0,7.95,None,GB,,,,
6,16/10/2024,,,,,GBP,14.57,0,14.57,None,GB,,,,
7,16/10/2024,,,,,GBP,7.14,0,7.14,None,GB,,,,
8,15/11/2024,,,,,GBP,77.91,0,77.91,None,GB,,,,
9,12/11/2024,,,,,GBP,67.46,0,67.46,None,GB,,,,
